epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1170.69,2.82878,4.17158,3.16443,0.13144,0.12981,0.0195,0.00531,2.79526,4.52854,3.02655,0.00033307,0.00033307,0.067026
2,2324.54,2.19535,3.57732,2.56674,0.44684,0.0944,0.04261,0.01139,2.63213,4.22439,3.09388,0.000653209,0.000653209,0.0340129
3,3506.44,2.04979,3.306,2.3809,0.14376,0.22738,0.09864,0.03311,2.16361,3.52285,2.58563,0.000960147,0.000960147,0.000986456
4,4659.01,1.94544,3.10412,2.27102,0.32235,0.2017,0.1158,0.03628,2.16386,3.45517,2.59785,0.0009406,0.0009406,0.0009406
5,5825.6,1.8712,2.97912,2.19669,0.17217,0.28881,0.16251,0.05075,2.07338,3.18837,2.40232,0.0009208,0.0009208,0.0009208
6,6979.16,1.8047,2.85124,2.14018,0.17741,0.34014,0.19566,0.07396,2.03369,2.87029,2.41536,0.000901,0.000901,0.000901
7,8145.46,1.77287,2.77595,2.10422,0.24428,0.36495,0.24758,0.10098,1.92185,2.71585,2.27558,0.0008812,0.0008812,0.0008812
8,9294.99,1.7487,2.69506,2.06232,0.29003,0.38679,0.27551,0.11513,1.90305,2.56071,2.2423,0.0008614,0.0008614,0.0008614
